Opcode,Instruction,Mode,Cycles,Cycles when condition is true (min),Len,Flags,Description,Example
0x03,"ADC","absolute",10,,4,"Z N C","Add Memory to Accumulator with Carry (absolute)","ADC 0x2234FA"
0x05,"ADC","absolute - X index",13,8,4,"Z N C O","Add Memory to Accumulator with Carry (absolute - X index)","ADC 0x2234FA,X"
0x87,"ADC","absolute - Y index",13,8,4,"Z N C O","Add Memory to Accumulator with Carry (absolute - Y index)","ADC 0x2234FA,Y"
0x6F,"ADC","D registry",5,,1,"Z N C","Add Register D to Accumulator with Carry","ADC D"
0x06,"ADC","E registry",5,,1,"Z N C","Add Register E to Accumulator with Carry","ADC E"
0x69,"ADC","immediate",5,,2,"Z N C","Add Memory to Accumulator with Carry (immediate)","ADC 0x07"
0x6D,"ADC","zero page",8,,3,"Z N C","Add Memory to Accumulator with Carry (zero page)","ADC 0x7503"
0x04,"ADC","zero page - X index",11,8,3,"Z N C O","Add Memory to Accumulator with Carry (zero page - X index)","ADC 0x7503,X"
0x86,"ADC","zero page - Y index",11,8,3,"Z N C O","Add Memory to Accumulator with Carry (zero page - Y index)","ADC 0x7503,Y"
0x08,"AND","absolute",10,,4,"Z N","AND Memory with Accumulator (absolute)","AND 0x2234FA"
0x09,"AND","D registry",5,,1,"Z N","AND Register D with Accumulator","AND D"
0x0A,"AND","E registry",5,,1,"Z N","AND Register E with Accumulator","AND E"
0x29,"AND","immediate",5,,2,"Z N","AND Memory with Accumulator (immediate)","AND 0x07"
0x07,"AND","zero page",8,,3,"Z N","AND Memory with Accumulator (zero page)","AND 0x7503"
0xAF,"ASL","accumulator",6,5,1,"Z N C","Shift Left One Bit (accumulator)","ASL A"
0x1A,"ASL","zero page",9,5,3,"Z N C","Shift Left One Bit (zero page)","ASL 0x7503"
0x19,"BCC","absolute",10,6,4,"","Branch on Carry Clear (absolute)","BCC 0x2234FA"
0x90,"BCC","zero page",6,5,3,"","Branch on Carry Clear (zero page)","BCC 0x7503"
0x22,"BCS","absolute",6,10,4,"","Branch on Carry Set (absolute)","BCS 0x2234FA"
0xB0,"BCS","zero page",5,6,3,"","Branch on Carry Set (zero page)","BCS 0x7503"
0x23,"BEQ","absolute",6,10,4,"","Branch on Result Zero (absolute)","BEQ 0x2234FA"
0xF0,"BEQ","zero page",5,6,3,"","Branch on Result Zero (zero page)","BEQ 0x7503"
0x17,"BIT","absolute",10,,4,"Z N","Test Accumulator BITs with Memory (absolute)","BIT 0x2234FA"
0x15,"BIT","immediate",5,,2,"Z N","Test Accumulator BITs with Memory (immediate)","BIT 0x07"
0x16,"BIT","zero page",8,,3,"Z N","Test Accumulator BITs with Memory (zero page)","BIT 0x7503"
0x24,"BMI","absolute",6,10,4,"","Branch on Result Minus (absolute)","BMI 0x2234FA"
0x30,"BMI","zero page",5,6,3,"","Branch on Result Minus (zero page)","BMI 0x7503"
0x25,"BNE","absolute",10,6,4,"","Branch on Result not Zero (absolute)","BNE 0x2234FA"
0xD0,"BNE","zero page",6,5,3,"","Branch on Result not Zero (zero page)","BNE 0x7503"
0x27,"BPL","absolute",10,6,4,"","Branch on Result Plus (absolute)","BPL 0x2234FA"
0x10,"BPL","zero page",6,5,3,"","Branch on Result Plus (zero page)","BPL 0x7503"
0x00,"BRK","",13,,1,"I","Jump to interrupt handler routine","BRK "
0x18,"CLC","",3,,1,"C","Clear Carry Flag","CLC "
0x58,"CLI","",3,,1,"I","Clear interrupt disable","CLI "
0x42,"CMP","absolute",10,,4,"Z N C","Compare Memory with Accumulator (absolute)","CMP 0x2234FA"
0xB6,"CMP","absolute - X index",13,8,4,"Z N C O","Compare Memory with Accumulator (absolute - X index)","CMP 0x2234FA,X"
0xB7,"CMP","absolute - Y index",13,8,4,"Z N C O","Compare Memory with Accumulator (absolute - Y index)","CMP 0x2234FA,Y"
0xC9,"CMP","immediate",5,,2,"Z N C","Compare Memory with Accumulator (immediate)","CMP 0x07"
0xB9,"CMP","indirect - zero page",15,11,3,"Z N C","Compare Memory with Accumulator (indirect - zero page)","CMP (0x7503)"
0xC0,"CMP","indirect - zero page - X index",16,10,3,"Z N C","Compare Memory with Accumulator (indirect - zero page - X index)","CMP (0x7503),X"
0xC3,"CMP","indirect - zero page - Y index",16,10,3,"Z N C","Compare Memory with Accumulator (indirect - zero page - Y index)","CMP (0x7503),Y"
0x5C,"CMP","zero page",8,,3,"Z N C","Compare Memory with Accumulator (zero page)","CMP 0x7503"
0xB4,"CMP","zero page - X index",11,8,3,"Z N C O","Compare Memory with Accumulator (zero page - X index)","CMP 0x7503,X"
0xB5,"CMP","zero page - Y index",11,8,3,"Z N C O","Compare Memory with Accumulator (zero page - Y index)","CMP 0x7503,Y"
0x44,"CPD","absolute",10,,4,"Z N C","Compare Memory with Register D (absolute)","CPD 0x2234FA"
0x51,"CPD","E registry",5,,1,"Z N C","Compare Register E and Register D","CPD E"
0xE5,"CPD","immediate",5,,2,"Z N C","Compare Memory with Register D (immediate)","CPD 0x07"
0x43,"CPD","zero page",8,,3,"Z N C","Compare Memory with Register D (zero page)","CPD 0x7503"
0x46,"CPE","absolute",10,,4,"Z N C","Compare Memory with Register E (absolute)","CPE 0x2234FA"
0xE4,"CPE","immediate",5,,2,"Z N C","Compare Memory with Register E (immediate)","CPE 0x07"
0x45,"CPE","zero page",8,,3,"Z N C","Compare Memory with Register E (zero page)","CPE 0x7503"
0x4A,"CPX","absolute",10,,4,"Z N C","Compare Memory with Register X (absolute)","CPX 0x2234FA"
0xEB,"CPX","D registry",5,,1,"Z N C","Compare Register D and Register X","CPX D"
0xE2,"CPX","E registry",5,,1,"Z N C","Compare Register E and Register X","CPX E"
0xE0,"CPX","immediate",5,,2,"Z N C","Compare Memory and Register X (immediate)","CPX 0x07"
0x47,"CPX","zero page",8,,3,"Z N C","Compare Memory with Register X (zero page)","CPX 0x7503"
0xE1,"CPX","Y registry",5,,1,"Z N C","Compare Register Y and Register X","CPX Y"
0x4E,"CPY","absolute",10,,4,"Z N C","Compare Memory with Register Y (absolute)","CPY 0x2234FA"
0x4F,"CPY","D registry",5,,1,"Z N C","Compare Register D and Register Y","CPY D"
0x50,"CPY","E registry",5,,1,"Z N C","Compare Register E and Register Y","CPY E"
0xE3,"CPY","immediate",5,,2,"Z N C","Compare Memory and Register Y (immediate)","CPY 0x07"
0x4B,"CPY","zero page",8,,3,"Z N C","Compare Memory with Register Y (zero page)","CPY 0x7503"
0x53,"DEC","absolute",9,,4,"Z N","Decrement Memory by One (absolute)","DEC 0x2234FA"
0xCE,"DEC","zero page",7,,3,"Z N","Decrement Memory by One (zero page)","DEC 0x7503"
0x28,"DED","",4,,1,"Z N","Decrement Register D by One","DED "
0x2D,"DEE","",4,,1,"Z N","Decrement Register E by One","DEE "
0xF2,"DEW","zero page",12,5,5,"C","Decrement Memory Word by One (zero page)","DEW 0x7503"
0xCA,"DEX","",4,,1,"Z N","Decrement Register X by One","DEX "
0xCB,"DEY","",4,,1,"Z N","Decrement Register Y by One","DEY "
0xF7,"DMP","",2,,1,"","Dump registers in the simulator logs","DMP "
0x12,"EOR","absolute",10,,4,"Z N","Exclusive-OR Memory with Accumulator (absolute)","EOR 0x2234FA"
0x13,"EOR","D registry",5,,1,"Z N","Exclusive-OR Register D with Accumulator","EOR D"
